,QTY,Price,,Total,Supplier
Raspberry Pi Zero ,1,$29.45,,$506.12,https://core-electronics.com.au/raspberry-pi-zero-2-w-wireless.html
Raspberry Pi SD Card 32gb,1,$17.20,,,https://core-electronics.com.au/raspberry-pi-a2-class-sd-card-32gb.html
Raspberry Pi Touch Screen - WaveShare Disp -7a,1,$91.95,,,https://core-electronics.com.au/7-touch-display-kit-for-raspberry-pi-zero-1024600-pixel-touch-screen.html
Limit Switch - Mechanical Key - Cherry MX ,1,$2.45,,,https://core-electronics.com.au/cherry-mx-switch.html
Nema 23 Stepper Motor high torque,1,$52.45,,,https://www.makerstore.com.au/product/elec-nema23-635-ht
Stepper Driver - Pibot rev 2.3,1,$22.00,,,https://www.makerstore.com.au/product/pidrb230b01/
GT3 Timing Belt - 3m,3,$28.20,,,https://www.makerstore.com.au/product/belt-gt3-1m/?pewc_key=503a48157eb3d2cdd4758ead74c50f1c
GT3 Pulley,1,$12.55,,,https://www.makerstore.com.au/product/belt-gt3-10mm-635/?attribute_teeth-quantity=20&pewc_key=70eaf00cd2ee26c07f477c26f625849c
Cable Chain 10x10 ,2,$26.26,,,https://www.makerstore.com.au/product/hard-dragchain-1010
Bearings 16x5x5,4,$9.20,,,https://www.makerstore.com.au/product/bear-6252rs/
Shielded Cable 6mm 4 core shielded ,4,$17.64,,,https://www.makerstore.com.au/product/elec-cable-4s-705
M5 x 10mm Cap Head Screws - Black - Pack of 10,1,$1.26,,,https://www.makerstore.com.au/product/bolt-m5-cap
M5 x 25mm  Cap Head Screws - Black - Pack of 10,2,$4.70,,,https://www.makerstore.com.au/product/bolt-m5-cap
M8  x 20mm Cap Head Screws - Black - Pack of 10,1,$4.20,,,https://www.makerstore.com.au/product/bolts-m8-cap
Filament Pla CF 1kg  - Black,1,$48.99,,,https://au.store.bambulab.com/products/pla-cf
Filament PLA Matte - 1kg - Orange,1,$30.99,,,https://au.store.bambulab.com/products/pla-matte?id=42647402381475
Power Supply 24v 7.5 amp adapter,1,$89.95,,,https://www.auselectronicsdirect.com.au/24v-dc-7.5a-desktop-power-adapter-with-2.5mm-dc-pl
16mm Round Tube - Aluminium,2,$16.68,,,
